   x			   y1			   y2
   1.0900000e+02   6.4120000e-01   1.0000000e+00
   1.9100000e+02   5.2770000e-01   1.0000000e+00
   2.7300000e+02   4.6270000e-01   1.0000000e+00
   5.4600000e+02   3.0170000e-01   1.0000000e+00
   1.0910000e+03   1.6140000e-01   1.0000000e+00
   1.9100000e+03   7.6300000e-02   1.0000000e+00
   2.7290000e+03   4.2000000e-02   8.4390009e-01
   5.4570000e+03   7.1000000e-03   3.5726508e-01
   1.0915000e+04   0.0000000e+00   6.4560540e-02
   2.7287000e+04   0.0000000e+00   4.0719276e-04
