   x			   y1			   y2			   y3
   1.0900000e+02   3.6500000e-02   1.3048733e-01   4.4918654e-01
   1.9100000e+02   7.4000000e-03   3.1407862e-02   1.4690969e-01
   2.7300000e+02   1.6000000e-03   6.5666621e-03   4.8287268e-02
   5.4600000e+02   0.0000000e+00   6.7392358e-05   1.2294854e-03
   1.0910000e+03   0.0000000e+00   1.0838734e-08   9.1616053e-07
   1.9100000e+03   0.0000000e+00   2.8941910e-14   2.1819872e-11
   2.7290000e+03   0.0000000e+00   8.7058879e-20   5.6144299e-16
   5.4570000e+03   0.0000000e+00   4.4687517e-38   3.1392188e-31
   1.0915000e+04   0.0000000e+00   1.6694971e-73   9.7272379e-62
   2.7287000e+04   0.0000000e+00  3.8127486e-179  2.9700839e-153
