Degree,Asian Music,Blues,Chill Out/Trip-Hop/Lounge,Classical,Comedy,Contemporary R&B,Contemporary Soul,Country,Dancefloor,Dancehall/Ragga,Disco,East Coast,Film Scores,Films/Games,Folk,Hard Rock,Indie Rock/Rock pop,Jazz,Kids,Latin Music,Metal
23,0,1,1,2,0,1,1,0,0,0,1,1,1,1,5,1,1,1,0,1,2
11,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,1,1,1
4,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,1
21,1,1,0,0,1,1,0,1,1,0,2,0,3,3,4,3,3,0,0,0,4
33,0,2,0,1,0,5,2,0,6,1,5,0,5,4,7,3,0,1,0,6,2
3,0,1,0,0,0,0,0,0,1,1,1,0,0,1,1,1,0,1,0,1,1
11,0,0,0,0,0,2,1,1,0,0,1,1,3,3,1,0,0,0,0,2,0
16,0,0,0,0,0,5,1,0,2,0,1,0,2,2,1,0,1,1,1,3,0
6,1,0,0,0,0,1,0,1,0,1,1,0,1,1,2,0,0,1,0,1,0
13,0,0,0,0,0,1,0,0,0,0,0,0,2,2,3,0,0,0,0,0,0
13,0,0,0,0,0,1,1,0,1,1,0,0,2,2,1,0,0,0,2,3,1
87,2,1,0,2,2,5,0,2,9,0,6,2,18,18,16,11,5,1,2,10,17
4,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,0,2,0,0,0,2,1,1,2,0,1,1,2,2,0,0,0,1,1,3,0
2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,0,1,1,1,2,1,0,0,1,0,0,2,3,3,4,2,3,1,3,0,2
7,0,0,0,0,1,1,0,0,0,1,2,0,0,0,1,0,0,1,0,2,0
95,0,3,1,3,1,26,1,7,18,3,7,1,22,23,25,8,5,3,4,14,12
12,1,0,0,1,1,5,0,0,3,1,2,0,3,3,3,0,0,0,1,3,2
47,0,0,0,0,0,1,0,2,5,0,1,1,9,9,13,1,1,0,2,2,5
19,0,2,2,5,0,3,1,2,3,0,2,0,6,6,1,3,4,4,4,2,2
83,0,0,0,2,2,21,3,0,15,1,4,2,22,24,21,9,4,3,4,9,8
8,0,0,0,0,1,1,0,0,0,0,0,0,2,3,2,0,0,0,0,1,0
7,0,1,1,0,0,2,0,0,0,1,1,1,2,2,3,1,2,2,1,2,1
