Degree,Asian Music,Blues,Chill Out/Trip-Hop/Lounge,Classical,Comedy,Contemporary R&B,Contemporary Soul,Country,Dancefloor,Dancehall/Ragga,Disco,East Coast,Film Scores,Films/Games,Folk,Hard Rock,Indie Rock/Rock pop,Jazz,Kids,Latin Music,Metal
23,3,1,0,0,0,2,1,1,3,0,3,0,4,5,3,4,0,1,0,4,4
11,0,0,0,0,0,0,0,3,0,0,1,1,1,0,2,2,2,1,0,0,0
4,0,0,0,1,0,0,0,0,2,0,0,0,0,1,0,1,0,0,0,0,0
21,2,0,0,1,0,6,3,0,2,0,0,0,3,5,7,1,1,1,1,1,5
33,0,5,0,1,0,9,2,1,1,0,0,1,5,6,4,3,1,0,2,4,1
3,0,1,0,0,0,0,0,1,0,0,1,0,2,0,0,0,0,0,0,0,3
11,0,1,0,0,0,0,0,3,1,1,1,0,1,0,1,0,0,0,2,1,1
16,0,0,0,0,0,4,1,2,0,0,1,0,4,5,3,2,1,1,0,2,2
6,0,0,0,0,0,2,0,0,0,0,0,0,3,1,0,0,1,0,0,0,0
13,3,0,1,1,1,0,0,0,0,0,2,1,3,2,3,0,1,2,0,1,2
13,0,0,0,0,0,1,0,0,2,0,0,0,1,1,1,4,1,0,1,1,0
87,1,7,1,2,3,14,1,4,8,1,4,2,16,11,14,11,2,7,6,10,13
4,0,0,0,0,0,2,0,0,0,0,0,0,0,0,2,1,0,0,1,0,0
2,0,1,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,1,0,0
13,0,0,0,0,0,3,0,0,1,1,0,1,2,2,1,1,0,0,1,0,0
2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,1,0,0,0
13,0,1,0,0,1,2,1,0,0,0,0,1,3,2,0,1,0,1,0,1,3
7,0,0,0,0,0,1,0,0,0,0,1,0,1,2,0,1,1,0,0,2,0
95,0,5,1,5,4,16,4,7,8,2,4,2,19,20,16,8,8,7,3,15,10
12,0,1,1,0,1,1,0,1,1,1,3,0,1,2,1,1,0,0,1,0,0
47,1,2,0,2,0,6,0,1,7,1,3,3,11,8,6,1,1,3,3,8,4
19,0,0,0,1,0,3,1,1,0,0,3,0,1,2,2,1,0,1,2,4,2
83,7,2,1,4,0,9,3,8,4,0,6,3,18,9,10,8,4,6,5,11,7
8,0,1,1,0,0,0,0,0,0,0,1,0,1,2,1,1,0,0,0,0,0
7,0,0,0,0,0,0,1,1,1,0,1,0,0,1,1,1,0,2,0,2,1
24,0,1,0,0,1,6,0,0,4,0,1,0,2,8,6,4,1,2,1,4,2
5,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,0,0,0,0,0
56,0,4,0,2,1,7,1,3,8,0,3,4,8,13,9,7,4,4,4,9,7
14,0,1,0,0,1,1,1,0,3,0,0,0,0,2,2,1,1,2,1,2,1
37,0,2,0,1,0,2,0,0,2,0,0,1,6,5,6,2,0,1,1,4,2
1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0
3,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
27,1,1,0,1,0,6,0,1,2,0,1,0,2,3,8,6,3,3,0,4,2
9,0,1,0,0,0,1,0,0,1,0,1,1,1,1,1,1,2,0,0,1,1
56,1,3,0,2,1,4,2,2,4,0,2,4,11,8,10,2,3,2,4,10,7
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
80,2,5,0,3,1,13,3,6,7,2,2,6,13,19,18,2,5,5,1,11,11
40,0,3,1,1,1,9,0,1,3,0,1,2,8,8,6,3,1,2,3,2,1
4,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,1,1,0,0,0,0
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
27,0,1,0,1,1,4,0,1,1,0,1,1,8,3,7,7,1,1,1,4,5
33,2,0,0,1,1,3,2,1,3,1,2,4,3,4,8,1,2,0,1,2,3
14,0,0,0,0,0,1,0,1,1,0,2,0,3,3,3,1,1,0,0,0,0
20,1,1,0,2,0,2,2,0,1,0,1,0,4,4,4,1,1,0,0,0,0
3,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,1,1,0
