Degree,Asian Music,Blues,Chill Out/Trip-Hop/Lounge,Classical,Comedy,Contemporary R&B,Contemporary Soul,Country,Dancefloor,Dancehall/Ragga,Disco,East Coast,Film Scores,Films/Games,Folk,Hard Rock,Indie Rock/Rock pop,Jazz,Kids,Latin Music,Metal
23,0,14,0,1,2,3,3,0,2,0,0,0,2,3,3,3,2,2,0,3,2
11,0,0,0,1,0,2,1,0,2,0,0,0,3,2,2,1,0,0,0,3,1
4,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0
21,0,2,0,2,1,0,0,0,1,0,1,0,2,2,5,0,2,2,1,5,1
33,0,2,0,1,0,3,1,1,4,0,1,0,5,9,7,1,3,0,1,4,3
3,0,0,0,1,0,1,0,0,0,0,0,0,0,1,2,0,0,0,0,0,1
11,0,0,0,1,0,3,0,1,2,0,0,0,4,1,3,0,1,0,0,1,4
16,0,0,0,0,0,2,1,1,3,1,1,0,5,3,4,0,1,2,2,4,2
6,0,0,0,0,0,0,1,0,2,0,0,0,0,2,0,0,0,0,0,0,0
13,1,0,1,0,0,2,0,0,2,0,1,0,1,1,3,2,1,2,0,1,1
13,0,1,0,0,1,3,0,0,2,0,0,0,2,5,2,0,1,0,0,3,1
87,0,9,0,1,0,16,0,8,8,0,4,3,18,13,11,8,9,3,4,9,8
4,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,2,0,1,0,0,1
2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
13,0,0,0,0,0,0,1,2,1,0,2,0,6,1,4,1,1,0,0,2,3
2,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0
13,0,2,0,0,0,1,0,0,2,0,1,0,1,5,2,3,1,1,0,1,0
7,0,0,0,2,1,1,1,0,1,0,0,0,1,0,0,0,0,1,0,0,0
95,1,9,0,3,1,13,6,5,14,1,6,2,12,14,24,12,7,7,5,16,9
12,0,1,1,2,0,2,1,2,1,1,1,0,0,3,1,2,0,2,0,1,4
47,0,6,0,3,1,6,1,3,6,1,3,1,8,11,10,4,8,1,2,2,4
19,0,2,1,1,1,3,0,1,3,0,3,0,3,5,3,2,1,1,1,1,0
83,0,31,2,2,2,11,5,4,5,1,3,4,15,17,25,5,6,6,1,10,13
8,0,0,0,0,0,2,0,0,0,0,1,0,0,2,4,0,1,0,1,2,2
7,0,0,1,0,0,1,0,1,0,1,1,0,1,3,2,0,0,0,0,2,0
24,0,0,2,1,0,5,2,0,0,0,0,2,6,6,5,4,1,2,1,6,2
5,0,0,0,0,1,1,0,1,0,0,0,0,1,0,0,0,0,1,1,3,1
56,0,7,0,3,2,3,1,2,3,0,4,1,8,10,8,6,3,3,2,4,7
14,0,0,0,0,0,1,0,1,1,0,0,0,1,1,2,0,0,0,0,1,1
37,0,9,2,0,0,6,0,3,4,0,1,2,8,7,7,5,2,1,2,4,3
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,0,0,0,0,0,2,0,0,0,0,0,1,0,0,1,1,0,0,0,0,1
27,1,2,1,0,2,8,0,0,1,0,3,2,3,5,6,5,2,2,3,4,3
9,0,1,0,0,0,1,0,2,2,0,0,1,3,2,6,0,0,0,0,2,1
56,1,7,0,3,0,9,2,1,5,1,2,0,11,16,9,9,3,1,2,5,5
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
80,3,19,1,0,3,9,2,2,6,4,4,2,5,14,17,8,7,7,5,11,7
40,1,2,0,1,2,3,0,0,4,0,0,3,7,6,9,5,0,3,1,2,3
4,0,0,0,0,0,1,0,0,0,0,0,1,1,1,1,0,0,0,0,1,0
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
27,0,0,0,0,1,4,0,1,4,0,1,0,6,4,7,5,3,0,2,5,2
33,1,9,2,2,0,3,3,3,2,0,2,3,5,1,3,2,1,2,2,6,3
14,0,1,0,2,0,4,0,0,0,0,2,0,2,2,3,0,3,0,0,2,1
20,1,2,0,0,0,3,1,3,3,0,0,2,4,2,3,2,2,2,1,2,4
3,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
7,1,0,0,0,0,1,1,1,1,0,0,0,0,1,2,0,1,1,0,0,0
17,0,2,0,0,1,2,2,1,2,0,2,2,2,0,4,1,0,1,1,2,0
8,0,0,0,0,0,2,0,0,1,0,0,1,1,1,2,1,0,0,0,0,1
26,0,5,0,0,0,3,0,1,3,0,2,0,3,6,4,2,3,1,1,3,4
26,0,1,1,1,0,4,1,1,2,0,0,1,3,7,5,4,2,0,0,2,2
31,0,3,0,1,2,3,0,1,2,0,0,2,6,6,11,4,3,1,2,1,6
12,0,0,0,1,0,0,1,0,0,0,1,0,0,0,3,2,1,0,0,3,1
11,0,0,0,0,0,2,0,0,1,0,0,0,2,4,0,1,0,0,0,1,2
2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1
35,1,2,0,0,2,1,0,2,2,3,2,1,4,8,4,3,3,3,1,4,3
27,0,8,0,0,0,1,2,3,3,1,1,1,5,3,5,2,1,3,1,5,2
38,0,27,0,1,0,4,2,3,1,1,0,0,7,10,12,3,3,0,1,4,5
22,0,5,0,1,2,3,1,0,1,0,0,0,3,3,4,2,0,2,0,6,3
29,0,0,1,1,0,4,1,1,2,0,0,0,1,4,3,2,2,0,2,2,1
8,0,1,0,1,0,0,0,0,3,0,0,0,1,4,1,0,0,1,0,3,1
1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,1,0,0,1,0
20,0,0,0,0,1,2,0,0,2,0,2,0,6,4,4,0,0,1,0,1,3
8,0,0,0,1,0,1,1,0,1,0,0,0,2,1,2,1,1,1,0,1,0
19,1,1,0,0,0,1,0,0,1,0,1,1,5,4,6,2,0,1,1,3,3
5,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,2,1
30,0,2,0,1,1,5,1,1,4,1,4,2,5,7,6,0,1,2,0,2,3
70,0,4,0,0,0,5,1,1,5,0,4,5,4,13,13,5,3,4,3,7,10
16,0,2,0,0,0,1,0,3,0,0,1,0,1,7,2,3,1,1,2,1,1
13,0,0,1,0,0,0,0,0,0,0,1,3,2,3,0,0,1,0,2,4,1
28,0,3,1,0,0,3,0,0,1,0,1,0,4,5,5,2,3,0,1,1,4
7,0,0,0,1,0,1,0,0,0,0,1,0,2,2,0,1,1,0,1,1,0
3,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
18,0,1,0,1,0,2,0,0,1,0,1,1,2,4,6,2,2,1,1,3,2
26,0,1,1,0,1,1,1,1,2,1,0,3,5,2,7,5,2,2,2,2,5
6,0,2,0,0,0,1,0,0,0,0,0,0,0,0,2,1,0,0,0,1,2
8,1,1,1,0,0,0,0,0,1,0,0,0,2,1,0,0,2,1,0,1,1
21,0,3,1,1,0,1,0,2,2,0,2,1,3,1,4,1,2,1,2,2,1
11,0,0,0,1,1,1,0,1,2,0,0,0,0,3,2,0,0,1,1,3,1
25,0,0,0,0,0,6,1,2,3,0,3,2,8,6,10,1,2,0,0,5,0
5,0,1,0,1,0,1,0,0,1,0,0,0,1,0,2,0,0,0,0,1,0
71,2,18,2,2,2,9,0,2,5,1,3,0,9,11,8,6,5,4,2,9,5
6,0,0,0,0,1,0,1,0,1,0,0,0,0,2,3,1,0,0,0,2,0
11,1,0,2,1,0,1,1,1,2,0,1,0,2,3,2,2,1,1,0,0,3
25,0,3,0,1,0,4,1,1,3,0,1,0,4,4,6,2,0,2,0,2,2
15,0,3,0,1,1,3,0,0,0,0,0,0,0,1,5,1,1,2,1,2,3
2,0,0,0,0,0,1,0,0,0,0,1,0,1,0,1,1,0,0,0,0,0
28,0,3,0,1,0,5,0,1,3,0,0,0,3,7,6,1,3,1,2,3,4
8,0,2,1,1,0,0,0,0,0,0,1,0,2,1,0,2,0,2,1,3,0
73,0,2,1,2,0,11,0,5,5,2,3,1,8,16,13,5,3,6,4,12,8
4,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0
13,1,0,2,0,0,2,0,1,2,0,0,0,4,1,2,2,1,3,2,1,0
29,1,0,0,2,3,3,2,2,2,0,1,2,7,4,6,2,2,1,2,2,1
14,0,2,0,2,1,0,1,2,4,1,0,0,4,4,3,1,0,1,0,3,4
33,0,1,0,1,1,2,0,2,1,1,1,2,3,7,7,5,2,2,1,9,3
88,0,45,2,2,2,8,2,3,7,1,6,0,15,18,11,4,2,3,3,6,7
23,0,0,2,0,0,2,1,0,0,0,1,0,6,3,6,2,3,3,1,4,8
27,0,13,0,1,0,5,0,1,1,0,3,1,7,5,8,3,1,0,0,3,0
7,0,0,0,0,1,1,1,0,1,0,1,0,1,1,1,1,0,0,0,1,0
126,0,14,1,5,4,11,2,2,12,2,6,1,16,18,26,13,10,7,4,19,13
36,1,2,1,1,1,7,2,1,2,0,3,5,9,10,7,3,4,2,2,3,3
36,0,2,2,3,0,2,3,1,9,0,2,0,3,5,4,4,3,4,2,4,2
13,0,0,0,0,1,1,1,0,1,0,0,0,2,1,2,1,0,3,0,2,0
1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
12,0,0,0,2,0,1,0,1,1,0,1,0,3,2,5,0,2,1,0,5,1
47,0,20,3,0,1,3,1,2,2,1,3,1,6,9,11,5,3,5,1,6,6
49,1,4,1,2,1,6,1,1,4,0,0,1,9,8,8,5,4,2,3,10,4
30,1,6,0,1,0,5,0,2,3,0,1,0,7,3,3,3,1,3,1,3,2
8,0,1,0,0,0,0,0,1,1,0,1,2,1,0,1,1,0,1,1,2,1
29,0,8,0,1,0,4,0,0,2,0,1,0,6,3,4,4,1,2,2,5,2
3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24,1,12,0,1,1,2,2,0,1,0,0,0,2,3,3,2,3,1,0,5,1
1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,0,0,0,0,0,1,0,0,1,0,0,0,0,1,1,1,0,0,1,0,1
35,0,2,1,1,1,7,0,3,2,0,1,0,6,7,6,1,4,5,3,4,5
15,0,1,0,1,0,1,0,1,0,2,1,0,2,4,3,1,1,3,1,1,1
149,0,17,3,3,1,23,1,7,16,2,11,6,23,33,29,9,7,5,7,16,9
35,0,8,0,1,2,6,1,2,8,0,3,0,6,2,8,3,3,3,3,3,5
28,0,3,1,1,0,2,1,3,4,0,1,2,3,2,8,4,1,1,1,4,5
12,0,1,1,0,0,3,0,0,2,0,2,0,2,0,5,1,0,0,2,3,1
4,0,1,1,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0
30,1,0,1,1,0,6,1,3,1,0,1,0,2,5,6,3,3,0,2,6,1
39,1,3,1,3,0,6,1,2,5,0,2,0,12,4,9,4,1,1,0,9,2
21,0,14,0,1,0,4,0,0,2,0,0,0,3,4,4,2,1,1,0,3,2
29,1,0,2,1,1,4,0,1,2,1,0,1,1,3,2,3,3,2,0,5,1
19,0,2,0,1,0,4,0,1,0,1,0,0,1,3,3,1,1,1,0,2,3
60,0,16,2,1,1,7,3,5,7,0,2,2,9,7,8,4,2,3,2,9,5
2,0,1,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
15,1,3,0,1,0,2,1,1,1,0,0,0,2,3,2,3,2,0,2,2,2
12,0,1,0,1,0,1,0,0,0,0,1,2,3,2,2,1,2,0,0,1,1
41,0,3,0,2,0,3,0,2,3,0,2,1,6,6,2,7,2,4,1,5,2
24,0,0,0,0,0,6,0,1,3,2,3,0,3,5,6,3,2,0,2,5,2
20,0,2,0,0,1,2,1,0,1,0,2,1,7,3,7,1,1,1,0,2,2
3,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1
8,0,0,0,0,0,2,1,1,1,0,2,0,3,0,4,0,0,0,1,0,0
3,0,0,0,0,0,1,0,0,1,0,0,0,0,2,2,0,0,0,1,0,0
16,0,0,0,0,0,3,0,0,0,0,2,0,3,1,5,1,1,1,1,3,0
19,2,4,0,1,0,6,1,1,2,1,1,0,4,3,2,1,2,2,0,5,1
35,0,3,2,4,1,3,3,0,4,1,1,0,9,6,2,3,1,1,2,8,2
26,0,1,2,1,1,3,0,3,3,0,3,1,2,5,8,1,2,0,0,5,1
11,1,0,0,0,1,1,1,0,1,0,0,0,2,1,0,1,1,2,0,2,1
22,0,1,0,0,1,0,0,2,3,2,2,1,5,6,6,1,2,1,2,3,2
13,0,0,1,0,0,0,0,0,1,1,0,0,0,3,3,2,0,1,0,0,1
30,1,5,1,0,2,3,1,0,2,0,2,0,6,7,8,2,1,1,0,3,4
19,0,5,1,0,0,3,0,3,1,0,0,0,6,5,4,2,0,0,0,5,1
12,0,2,0,0,1,2,3,2,0,0,1,0,2,2,3,3,1,0,2,0,0
26,0,1,0,0,0,4,0,2,3,0,1,2,7,5,5,3,1,0,1,4,1
3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1
5,1,0,0,0,0,1,0,0,1,0,0,0,0,0,1,1,0,1,1,0,2
1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
7,0,0,0,0,0,3,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0
4,0,0,0,0,0,1,0,0,0,0,0,0,2,2,2,0,1,1,1,0,0
