Degree,Asian Music,Blues,Chill Out/Trip-Hop/Lounge,Classical,Comedy,Contemporary R&B,Contemporary Soul,Country,Dancefloor,Dancehall/Ragga,Disco,East Coast,Film Scores,Films/Games,Folk,Hard Rock,Indie Rock/Rock pop,Jazz,Kids,Latin Music,Metal
23,0,3,8,1,0,5,1,1,1,0,1,0,4,6,1,2,2,2,0,4,1
11,0,1,1,0,1,1,2,0,1,0,0,0,2,3,3,0,2,0,0,3,0
4,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,1,0,0,0,0,0
21,0,3,0,1,0,1,1,1,1,1,1,0,6,3,5,3,3,0,0,4,2
33,1,3,0,0,2,4,2,2,5,0,1,1,7,7,5,3,2,2,0,2,0
3,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
11,0,0,1,1,0,0,0,1,1,0,1,0,2,2,1,2,0,0,0,1,2
16,0,1,0,1,0,2,0,0,3,0,1,0,2,3,1,0,0,0,0,6,2
6,0,0,1,0,0,0,0,0,0,0,2,1,0,3,2,0,1,0,1,1,0
13,0,2,0,0,0,2,2,0,5,0,1,1,4,2,3,1,1,0,1,2,1
13,0,0,0,2,1,0,1,0,1,1,1,1,2,2,2,1,0,0,0,2,0
87,1,6,3,2,1,13,2,3,9,0,5,0,15,10,17,12,4,7,2,12,5
4,0,2,0,1,0,0,0,0,0,1,0,0,0,1,1,1,0,0,0,0,2
2,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0
13,0,0,1,0,2,2,1,0,2,0,1,0,2,4,1,1,1,1,0,1,2
2,0,0,0,0,0,1,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0
13,0,4,0,0,0,3,1,1,0,0,3,0,3,4,4,2,0,0,0,2,1
7,0,0,0,0,0,0,0,0,1,0,0,0,0,1,4,0,1,0,0,0,2
95,0,6,2,3,2,8,0,3,7,0,5,3,16,14,19,4,7,5,4,15,12
12,0,0,0,0,0,1,0,2,0,0,0,1,1,3,4,1,0,0,0,4,0
47,0,2,0,4,1,7,0,1,5,1,3,2,9,10,11,2,3,1,3,8,6
19,0,2,0,2,1,3,1,1,2,0,2,2,2,2,3,2,2,1,0,2,1
83,0,4,4,2,1,12,3,4,6,0,6,2,16,12,13,14,8,8,3,11,5
8,0,1,0,0,1,1,0,0,0,0,0,0,1,1,2,1,0,1,1,0,3
7,0,1,0,0,0,1,0,0,1,0,1,0,2,2,1,0,0,0,0,0,1
24,0,0,0,0,0,3,1,5,4,1,3,2,2,5,4,2,4,0,1,3,3
5,1,0,0,0,0,2,1,0,0,0,0,0,1,0,1,1,0,0,0,1,1
56,0,6,1,3,3,7,2,3,5,0,4,1,4,16,14,3,4,2,1,5,3
14,0,0,0,0,0,2,0,2,1,1,1,0,3,2,4,1,0,1,0,3,2
37,1,3,0,2,1,5,1,1,2,3,3,0,7,7,4,2,6,1,1,5,6
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1
27,1,2,0,0,0,5,1,1,3,0,2,0,3,4,7,2,2,0,2,6,3
9,0,0,0,0,2,1,0,0,0,1,1,0,1,1,1,3,1,0,0,4,1
56,0,3,3,0,0,10,3,3,2,1,3,3,11,7,12,8,6,0,1,6,6
1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
80,1,10,0,2,1,8,2,1,7,0,8,2,8,16,10,12,1,4,5,16,6
40,0,5,1,2,0,5,2,2,3,0,1,2,8,6,4,2,5,1,0,5,6
4,0,0,0,0,0,2,1,0,0,0,1,0,1,2,2,0,1,0,0,0,0
1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,1
27,0,0,0,1,0,2,0,0,3,2,6,0,6,5,7,2,1,3,1,4,1
33,0,1,2,1,0,5,0,2,1,0,2,1,4,5,6,2,2,1,3,4,3
14,0,3,1,0,0,1,1,2,1,0,2,0,1,5,2,1,0,0,1,1,0
20,0,2,0,0,0,3,0,0,3,0,1,1,3,2,6,1,2,1,1,2,0
3,0,0,1,1,1,0,0,1,1,0,0,0,0,0,1,0,0,0,0,1,0
7,0,0,1,0,1,0,0,0,0,0,1,0,1,1,2,0,0,1,0,1,1
17,0,1,0,0,2,2,2,0,4,0,1,0,2,4,2,0,2,0,1,2,3
8,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,0,0,1,1,2,1
26,0,4,2,0,1,4,0,0,3,0,0,2,6,3,6,2,2,2,1,4,7
26,0,0,1,0,2,3,1,1,3,1,2,2,6,6,0,0,0,1,0,3,3
31,0,6,4,3,0,5,0,0,6,0,5,0,5,4,3,5,1,2,4,5,3
12,0,1,0,0,0,3,1,0,0,0,1,0,3,4,3,0,0,0,0,1,4
11,0,0,0,0,0,2,0,2,0,1,0,0,2,3,1,1,0,0,0,0,5
2,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
35,0,5,0,2,1,4,0,2,2,0,1,1,7,7,8,3,1,2,1,4,3
27,1,2,7,3,0,6,1,3,1,0,1,2,5,4,5,3,0,0,0,2,4
