   x			   y1			   y2
   9.5000000e+01   3.0290000e-01   1.0000000e+00
   1.6600000e+02   1.8160000e-01   1.0000000e+00
   2.3800000e+02   1.1060000e-01   1.0000000e+00
   4.7500000e+02   2.6100000e-02   8.9991627e-01
   9.5100000e+02   2.5000000e-03   4.0528733e-01
   1.6640000e+03   2.0000000e-04   1.2328422e-01
   2.3770000e+03   0.0000000e+00   3.7713136e-02
   4.7540000e+03   0.0000000e+00   7.5511437e-04
   9.5080000e+03   0.0000000e+00   3.4764232e-07
   2.3769000e+04   0.0000000e+00   5.2780879e-17
