   x			   y1			   y2			   y3
   9.5000000e+01   5.7040000e-01   1.0000000e+00   1.0000000e+00
   1.6600000e+02   4.6670000e-01   1.0000000e+00   1.0000000e+00
   2.3800000e+02   3.8570000e-01   1.0000000e+00   1.0000000e+00
   4.7500000e+02   2.5600000e-01   7.5042594e-01   1.0000000e+00
   9.5100000e+02   1.4420000e-01   3.0951173e-01   1.0000000e+00
   1.6640000e+03   7.8400000e-02   8.5671512e-02   7.8793911e-01
   2.3770000e+03   4.2100000e-02   2.5317563e-02   5.2919912e-01
   4.7540000e+03   6.9000000e-03   4.0279179e-04   1.4102306e-01
   9.5080000e+03   2.0000000e-04   1.4127119e-07   1.0223022e-02
   2.3769000e+04   0.0000000e+00   1.2566524e-17   4.4812283e-06
