   x			   y1		  	   y2
   8.4000000e+01   4.8670000e-01   1.0000000e+00
   1.4600000e+02   3.4930000e-01   1.0000000e+00
   2.0900000e+02   2.6140000e-01   1.0000000e+00
   4.1800000e+02   1.1890000e-01   1.0000000e+00
   8.3500000e+02   2.6800000e-02   6.7682461e-01
   1.4620000e+03   3.3000000e-03   3.0094509e-01
   2.0890000e+03   5.0000000e-04   1.3416637e-01
   4.1770000e+03   0.0000000e+00   9.2743360e-03
   8.3550000e+03   0.0000000e+00   4.7677184e-05
   2.0887000e+04   0.0000000e+00   9.2418609e-12
