   x			   y1			   y2			   y3
   8.4000000e+01   6.3000000e-03   3.9905155e-01   1.0000000e+00
   1.4600000e+02   9.0000000e-04   1.7959548e-01   1.0000000e+00
   2.0900000e+02   1.0000000e-04   7.8172588e-02   1.0000000e+00
   4.1800000e+02   0.0000000e+00   6.3221107e-03   5.8491706e-01
   8.3500000e+02   0.0000000e+00   5.8681327e-05   1.7260919e-01
   1.4620000e+03   0.0000000e+00   2.9369845e-08   2.7857384e-02
   2.0890000e+03   0.0000000e+00   6.3846273e-11   4.5536272e-03
   4.1770000e+03   0.0000000e+00   1.2386989e-20   1.1836562e-05
   8.3550000e+03   0.0000000e+00   8.6736449e-40   9.9697425e-11
   2.0887000e+04   0.0000000e+00   2.3270457e-96   8.9302010e-26
