MoR RoS MoRB RoSB Samp S
0.3037 0.3033 1 1 329835.973644986 100
0.2383 0.23665 1 1 329835.973644986 200
0.13165 0.12855 1 1 329835.973644986 500
0.08525 0.0839 1 0.771772845808777 329835.973644986 800
0.0591 0.0577 1 0.608317658939218 329835.973644986 1000
0.01305 0.0129 1 0.185331191311896 329835.973644986 2000
2e-04 0.00015 1 0.00528630323138755 329835.973644986 5000
0 0 1 0.000152734199906515 329835.973644986 8000
0 0 1 1.44770997003947e-05 329835.973644986 10000
0 0 1 1.19080940683008e-10 329835.973644986 20000
0 0 0.608321516839912 9.76123727391525e-26 329835.973644986 50000
0 0 0.298062459632744 9.32920203498654e-41 329835.973644986 80000
0 0 0.185304712895589 9.14741534802079e-51 329835.973644986 1e+05
