eMoR eRoS sizes
1.02492128711336 1.02466052060922 100
1.01763883147218 1.01746334911285 200
1.01102612462507 1.01093203398576 500
1.00890373590461 1.00882232047993 800
1.00771086085382 1.00763111375774 1000
1.00560734367557 1.00553662562042 2000
1.00358646538673 1.00354579799147 5000
1.00281408644231 1.00278041939206 8000
1.0025499020336 1.00251603800731 10000
1.00181566656867 1.00178903249167 20000
1.00114822896613 1.0011253571385 50000
1.00092683892011 1.00091071712896 80000
1.00083067894772 1.00081256305032 1e+05
