MoR RoS MoRB RoSB Samp S
0.26085 0.16855 1 1 32976.8237980401 100
0.18465 0.08975 1 1 32976.8237980401 200
0.08435 0.0187 1 1 32976.8237980401 500
0.04445 0.00495 1 1 32976.8237980401 800
0.02845 0.00165 1 1 32976.8237980401 1000
0.0051 0 1 0.52475967253791 32976.8237980401 2000
1e-04 0 0.608321516839912 0.0707774210711617 32976.8237980401 5000
0 0 0.298062459632744 0.00958645410257375 32976.8237980401 8000
0 0 0.185304712895589 0.00253415867471126 32976.8237980401 10000
0 0 0.0172714897933505 3.35844311763517e-06 32976.8237980401 20000
0 0 1.44739090503881e-05 9.60074136387573e-15 32976.8237980401 50000
0 0 1.27053678974956e-08 3.23728282502057e-23 32976.8237980401 80000
0 0 1.1900773831161e-10 7.53094213129114e-29 32976.8237980401 1e+05
