eMoR eRoS sizes
1.04895629689888 1.032148071611 100
1.03502570478229 1.02279797525803 200
1.02235224890974 1.01465598175561 500
1.01756948837244 1.01166982628897 800
1.01618697714852 1.01083986056784 1000
1.01170858142986 1.00812938540884 2000
1.0081056897024 1.00612968636896 5000
1.00693911421765 1.005428964489 8000
1.00643207477672 1.0051827367106 10000
1.00534838744819 1.00463958145642 20000
1.00460719753918 1.00430161730429 50000
1.00442175229491 1.00423113713859 80000
1.00432998346696 1.00420289767989 1e+05
